seqnames	start	end	width	strand	refGenome	reads	patient	GTSP	cellType	timePoint	timePointDays	timePointMonths	posid	estAbund	relAbund	inFeature	nearestFeature	nearestFeatureStrand	inFeatureExon	inFeatureSameOrt	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist	nearestOncoFeatureStrand	nearestlymphomaFeature	nearestlymphomaFeatureDist	nearestlymphomaFeatureStrand
chr15	24826017	24826017	1	+	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr15+24826017	1	0.6211180124223602	TRUE	SNRPN,SNHG14	+,+	FALSE	TRUE	-0	NPAP1	142570	+	None.found	Inf	None.found
chr17	42436692	42436692	1	-	hg38	40	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr17-42436692	1	0.6211180124223602	FALSE	CAVIN1	-	FALSE	TRUE	-13371	STAT3	-48196	-	None.found	Inf	None.found
chr17	4318194	4318194	1	-	hg38	6	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr17-4318194	1	0.6211180124223602	TRUE	UBE2G1	-	FALSE	TRUE	0	MYBBP1A	220700	-	None.found	Inf	None.found
chr17	62567091	62567091	1	-	hg38	444	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr17-62567091	1	0.6211180124223602	TRUE	TLK2	+	FALSE	FALSE	-0	BRIP1	-703531	-	None.found	Inf	None.found
chr17	78414688	78414688	1	-	hg38	16	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr17-78414688	1	0.6211180124223602	TRUE	PGS1	+	FALSE	FALSE	-0	TK1	-227483	-	None.found	Inf	None.found
chr17	81809943	81809943	1	-	hg38	6	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr17-81809943	1	0.6211180124223602	TRUE	GCGR	+	FALSE	FALSE	-0	MAFG	108324	-	None.found	Inf	None.found
chr17	82132720	82132720	1	-	hg38	955	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr17-82132720	1	0.6211180124223602	TRUE	CCDC57	-	FALSE	TRUE	-0	SLC16A3	-95684	+	None.found	Inf	None.found
chr17	43514689	43514689	1	+	hg38	1219	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr17+43514689	1	0.6211180124223602	TRUE	DHX8	+	FALSE	TRUE	-0	ETV4	13152	-	None.found	Inf	None.found
chr17	5488646	5488646	1	+	hg38	145	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr17+5488646	1	0.6211180124223602	TRUE	MIS12	+	FALSE	TRUE	-0	RABEP1	102305	+	None.found	Inf	None.found
chr18	56604662	56604662	1	-	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr18-56604662	1	0.6211180124223602	TRUE	TXNL1	-	FALSE	TRUE	-0	ATP8B1	1041762	-	BCL2	6518682	-
chr18	58740321	58740321	1	-	hg38	654	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr18-58740321	1	0.6211180124223602	TRUE	MALT1	+	FALSE	FALSE	-0	MALT1	-0	+	BCL2	4383023	-
chr18	62100873	62100873	1	-	hg38	437	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr18-62100873	1	0.6211180124223602	TRUE	PIGN	-	FALSE	TRUE	-0	TNFRSF11A	-224412	+	BCL2	1022471	-
chr18	56918361	56918361	1	+	hg38	9	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr18+56918361	1	0.6211180124223602	TRUE	WDR7	+	FALSE	TRUE	-0	ATP8B1	728063	-	BCL2	6204983	-
chr19	11594195	11594195	1	-	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr19-11594195	1	0.6211180124223602	FALSE	ZNF627	+	FALSE	FALSE	-3223	EPOR	-209852	-	LYL1	1504831	-
chr19	12482406	12482406	1	+	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr19+12482406	1	0.6211180124223602	TRUE	ZNF709	-	FALSE	FALSE	0	ZNF442	-116744	-	LYL1	616620	-
chr19	39999446	39999446	1	+	hg38	2	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr19+39999446	1	0.6211180124223602	TRUE	ZNF546	+	FALSE	TRUE	0	DYRK1B	-165212	-	JUND	-21717789	-
chr19	40006733	40006733	1	+	hg38	3	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr19+40006733	1	0.6211180124223602	TRUE	ZNF546	+	FALSE	TRUE	0	DYRK1B	-172499	-	JUND	-21725076	-
chr19	40262765	40262765	1	+	hg38	48	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr19+40262765	1	0.6211180124223602	TRUE	AKT2	-	FALSE	FALSE	0	AKT2	0	-	JUND	-21981108	-
chr19	46013351	46013351	1	+	hg38	569	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr19+46013351	1	0.6211180124223602	TRUE	CCDC61	+	FALSE	TRUE	-0	FOSB	538171	+	JUND	-27731694	-
chr19	57822904	57822904	1	+	hg38	46	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr19+57822904	1	0.6211180124223602	FALSE	FKBP1AP1	-	FALSE	FALSE	2374	ZSCAN22	-504113	+	JUND	-39541247	-
chr2	125236139	125236139	1	-	hg38	2	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2-125236139	1	0.6211180124223602	FALSE	CNTNAP5	+	FALSE	FALSE	320761	BIN1	1811882	-	BCL11A	-64682640	-
chr2	160348452	160348452	1	-	hg38	29	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2-160348452	1	0.6211180124223602	TRUE	RBMS1	-	FALSE	TRUE	-0	GALNT5	3029960	+	BCL11A	-99794953	-
chr2	189302969	189302969	1	-	hg38	702	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2-189302969	1	0.6211180124223602	FALSE	COL5A2	-	FALSE	TRUE	-123089	PMS1	-481114	+	BCL11A	-128749470	-
chr2	201401018	201401018	1	-	hg38	36	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2-201401018	1	0.6211180124223602	TRUE	TRAK2	-	TRUE	TRUE	-0	CASP8	113306	+	BCL11A	-140847519	-
chr2	203081713	203081713	1	-	hg38	59	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2-203081713	1	0.6211180124223602	TRUE	NBEAL1	+	FALSE	FALSE	0	RAPH1	351967	-	BCL11A	-142528214	-
chr2	241348442	241348442	1	-	hg38	13	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2-241348442	2	1.2422360248447204	TRUE	SEPT2	+	FALSE	FALSE	-0	SEPT2	-0	+	BCL11A	-180794943	-
chr2	28137664	28137664	1	-	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2-28137664	1	0.6211180124223602	TRUE	BABAM2	+	FALSE	FALSE	-0	FOSL2	-255246	+	BCL11A	32313501	-
chr2	36868300	36868300	1	-	hg38	4	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2-36868300	1	0.6211180124223602	TRUE	STRN	-	FALSE	TRUE	-0	STRN	-0	-	BCL11A	23582865	-
chr2	43517494	43517494	1	-	hg38	34	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2-43517494	1	0.6211180124223602	TRUE	THADA	-	FALSE	TRUE	0	THADA	0	-	BCL11A	16933671	-
chr2	202738691	202738691	1	+	hg38	3	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2+202738691	1	0.6211180124223602	TRUE	FAM117B	+	FALSE	TRUE	-0	RAPH1	694989	-	BCL11A	-142185192	-
chr2	203141901	203141901	1	+	hg38	170	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2+203141901	1	0.6211180124223602	TRUE	NBEAL1	+	FALSE	TRUE	-0	RAPH1	291779	-	BCL11A	-142588402	-
chr2	54653623	54653623	1	+	hg38	14	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2+54653623	1	0.6211180124223602	TRUE	SPTBN1	+	TRUE	TRUE	-0	RTN4	318564	-	BCL11A	5797542	-
chr2	63847728	63847728	1	+	hg38	3	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr2+63847728	1	0.6211180124223602	TRUE	UGP2	+	FALSE	TRUE	0	RAB1A	1239124	-	BCL11A	-3294229	-
chr20	25671557	25671557	1	-	hg38	12	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr20-25671557	1	0.6211180124223602	TRUE	ZNF337-AS1	+	FALSE	FALSE	-0	NKX2-2	-4157530	-	None.found	Inf	None.found
chr20	60725623	60725623	1	-	hg38	5	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr20-60725623	1	0.6211180124223602	FALSE	MIR548AG2	+	FALSE	FALSE	160997	SS18L1	-1418095	+	None.found	Inf	None.found
chr21	15620199	15620199	1	+	hg38	15	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr21+15620199	1	0.6211180124223602	FALSE	USP25	+	FALSE	TRUE	-109733	NRIP1	-555393	-	OLIG2	-17405707	+
chr21	21182652	21182652	1	+	hg38	151	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr21+21182652	1	0.6211180124223602	TRUE	NCAM2	+	FALSE	TRUE	0	MIR125B2	4592326	+	OLIG2	-11843254	+
chr22	50371917	50371917	1	+	hg38	1260	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr22+50371917	1	0.6211180124223602	TRUE	PPP6R2	+	FALSE	TRUE	0	MAPK12	-110106	-	BCR	27053879	+
chr3	151206685	151206685	1	-	hg38	2	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3-151206685	1	0.6211180124223602	TRUE	MED12L	+	FALSE	FALSE	0	P2RY14	5430	-	None.found	Inf	None.found
chr3	184887928	184887928	1	-	hg38	10	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3-184887928	1	0.6211180124223602	TRUE	VPS8	+	FALSE	FALSE	0	THPO	-508239	-	None.found	Inf	None.found
chr3	20171743	20171743	1	-	hg38	245	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3-20171743	1	0.6211180124223602	TRUE	SGO1	-	FALSE	TRUE	-0	SATB1	-1726154	-	None.found	Inf	None.found
chr3	37340342	37340342	1	-	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3-37340342	1	0.6211180124223602	TRUE	GOLGA4	+	FALSE	FALSE	-0	ITGA9	-111978	+	None.found	Inf	None.found
chr3	39410031	39410031	1	-	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3-39410031	1	0.6211180124223602	TRUE	RPSA	+	FALSE	FALSE	-0	XIRP1	-217434	-	None.found	Inf	None.found
chr3	121796517	121796517	1	+	hg38	147	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3+121796517	1	0.6211180124223602	TRUE	IQCB1	-	FALSE	FALSE	-0	CSTA	-528645	+	None.found	Inf	None.found
chr3	125339644	125339644	1	+	hg38	5	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3+125339644	1	0.6211180124223602	TRUE	ZNF148	-	FALSE	FALSE	0	MUC13	-404892	-	None.found	Inf	None.found
chr3	17224593	17224593	1	+	hg38	10	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3+17224593	1	0.6211180124223602	TRUE	TBC1D5	-	FALSE	FALSE	-0	SATB1	1120793	-	None.found	Inf	None.found
chr3	180963722	180963722	1	+	hg38	8	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3+180963722	1	0.6211180124223602	TRUE	FXR1	+	FALSE	TRUE	-0	SOX2	-748200	+	None.found	Inf	None.found
chr3	193664300	193664300	1	+	hg38	3	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3+193664300	1	0.6211180124223602	TRUE	OPA1	+	FALSE	TRUE	-0	HES1	-471840	+	None.found	Inf	None.found
chr3	53335042	53335042	1	+	hg38	81	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3+53335042	1	0.6211180124223602	TRUE	DCP1A	-	FALSE	FALSE	0	PRKCD	142324	+	None.found	Inf	None.found
chr3	66031314	66031314	1	+	hg38	529	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3+66031314	1	0.6211180124223602	TRUE	MAGI1	-	FALSE	FALSE	0	LRIG1	347481	-	None.found	Inf	None.found
chr3	89122043	89122043	1	+	hg38	163	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr3+89122043	1	0.6211180124223602	TRUE	EPHA3	+	FALSE	TRUE	0	EPHA3	0	+	None.found	Inf	None.found
chr4	145041312	145041312	1	-	hg38	37	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr4-145041312	1	0.6211180124223602	TRUE	ANAPC10	-	FALSE	TRUE	-0	GAB1	1566746	+	RAP1GDS1	46597450	+
chr4	71308176	71308176	1	-	hg38	312	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr4-71308176	1	0.6211180124223602	TRUE	SLC4A4	+	FALSE	FALSE	0	UTP3	617624	+	RAP1GDS1	-26953198	+
chr4	135078662	135078662	1	+	hg38	298	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr4+135078662	1	0.6211180124223602	FALSE	LINC02485	-	FALSE	FALSE	34421	SCLT1	-5985054	-	RAP1GDS1	36634800	+
chr4	151791968	151791968	1	+	hg38	2	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr4+151791968	2	1.2422360248447204	FALSE	GATB	-	FALSE	FALSE	-30944	FBXW7	529288	-	RAP1GDS1	53348106	+
chr4	169559999	169559999	1	+	hg38	992	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr4+169559999	1	0.6211180124223602	TRUE	NEK1	-	FALSE	FALSE	0	ADAM29	-5358357	+	RAP1GDS1	71116137	+
chr4	28748877	28748877	1	+	hg38	10	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr4+28748877	1	0.6211180124223602	FALSE	MIR4275	+	FALSE	TRUE	-70703	SLC34A2	3070128	+	RAP1GDS1	-69512497	+
chr5	120396696	120396696	1	-	hg38	616	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5-120396696	1	0.6211180124223602	FALSE	PRR16	+	FALSE	FALSE	-67580	LOX	1666497	-	TLX3	-50912586	+
chr5	157192338	157192338	1	-	hg38	217	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5-157192338	1	0.6211180124223602	TRUE	ITK	+	FALSE	FALSE	0	ITK	0	+	TLX3	-14116944	+
chr5	159282766	159282766	1	-	hg38	897	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5-159282766	1	0.6211180124223602	TRUE	UBLCP1	+	FALSE	FALSE	-0	EBF1	-183003	-	TLX3	-12026516	+
chr5	177553146	177553146	1	-	hg38	9	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5-177553146	1	0.6211180124223602	TRUE	FAM193B	-	FALSE	TRUE	0	DBN1	-79452	-	TLX3	6241011	+
chr5	3943043	3943043	1	-	hg38	31	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5-3943043	1	0.6211180124223602	FALSE	IRX1	+	FALSE	FALSE	341639	SLC6A3	-2497614	-	TLX3	-167366239	+
chr5	43297996	43297996	1	-	hg38	18	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5-43297996	1	0.6211180124223602	TRUE	HMGCS1	-	FALSE	TRUE	-0	GHR	576117	+	TLX3	-128011286	+
chr5	91741656	91741656	1	-	hg38	5	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5-91741656	1	0.6211180124223602	FALSE	ARRDC3-AS1	+	FALSE	FALSE	320940	NR2F1	-1841679	+	TLX3	-79567626	+
chr5	100812750	100812750	1	+	hg38	27	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5+100812750	1	0.6211180124223602	TRUE	ST8SIA4	-	FALSE	FALSE	-0	LNPEP	3783338	+	TLX3	-70496532	+
chr5	112907673	112907673	1	+	hg38	5	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5+112907673	1	0.6211180124223602	TRUE	REEP5	-	FALSE	FALSE	0	APC	61433	+	TLX3	-58401609	+
chr5	29354122	29354122	1	+	hg38	290	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5+29354122	1	0.6211180124223602	FALSE	LINC02064	-	FALSE	FALSE	25946	CDH10	-4709143	-	TLX3	-141955160	+
chr5	6619588	6619588	1	+	hg38	898	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr5+6619588	1	0.6211180124223602	TRUE	NSUN2	-	FALSE	FALSE	0	CTNND2	4352250	-	TLX3	-164689694	+
chr6	108564650	108564650	1	-	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr6-108564650	1	0.6211180124223602	TRUE	FOXO3	+	FALSE	FALSE	0	FOXO3	0	+	NKAIN2	-15239194	+
chr6	17668440	17668440	1	-	hg38	2	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr6-17668440	1	0.6211180124223602	TRUE	NUP153	-	FALSE	TRUE	0	DEK	555727	-	BRD2	-15300218	+
chr6	147212216	147212216	1	+	hg38	11	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr6+147212216	1	0.6211180124223602	TRUE	STXBP5	+	FALSE	TRUE	0	LATS1	2445935	-	NKAIN2	22386575	+
chr6	157589785	157589785	1	+	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr6+157589785	1	0.6211180124223602	TRUE	ZDHHC14	+	FALSE	TRUE	-0	ZDHHC14	-0	+	NKAIN2	32764144	+
chr6	16487998	16487998	1	+	hg38	2	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr6+16487998	1	0.6211180124223602	TRUE	ATXN1	-	FALSE	FALSE	-0	DEK	1736169	-	BRD2	-16480660	+
chr6	48119075	48119075	1	+	hg38	7	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr6+48119075	1	0.6211180124223602	FALSE	PTCHD4	-	FALSE	FALSE	-50385	RUNX2	2567992	+	BRD2	15137569	+
chr6	67813434	67813434	1	+	hg38	321	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr6+67813434	1	0.6211180124223602	FALSE	LOC102723883	+	FALSE	TRUE	-241915	COL19A1	-2053120	+	BRD2	34831928	+
chr7	134649348	134649348	1	-	hg38	69	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr7-134649348	1	0.6211180124223602	TRUE	BPGM	+	FALSE	FALSE	0	LRGUK	384756	+	None.found	Inf	None.found
chr7	139391473	139391473	1	-	hg38	36	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr7-139391473	1	0.6211180124223602	TRUE	LUC7L2,C7orf55-LUC7L2	+,+	FALSE	FALSE	0	HIPK2	170095	-	None.found	Inf	None.found
chr7	29303871	29303871	1	-	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr7-29303871	1	0.6211180124223602	TRUE	CHN2	+	FALSE	FALSE	0	PLEKHA8	-724488	+	None.found	Inf	None.found
chr7	44628656	44628656	1	-	hg38	557	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr7-44628656	1	0.6211180124223602	TRUE	OGDH	+	FALSE	FALSE	0	CAMK2B	-303024	-	None.found	Inf	None.found
chr7	55986694	55986694	1	-	hg38	824	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr7-55986694	1	0.6211180124223602	TRUE	NIPSNAP2	+	FALSE	FALSE	-0	EGFR	778613	+	None.found	Inf	None.found
chr7	112227141	112227141	1	+	hg38	4	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr7+112227141	1	0.6211180124223602	TRUE	ZNF277	+	FALSE	TRUE	0	NRCAM	-3770743	-	None.found	Inf	None.found
chr7	135591207	135591207	1	+	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr7+135591207	1	0.6211180124223602	TRUE	NUP205	+	FALSE	TRUE	0	LRGUK	1326615	+	None.found	Inf	None.found
chr7	157575117	157575117	1	+	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr7+157575117	1	0.6211180124223602	TRUE	PTPRN2	-	FALSE	FALSE	-0	MNX1	-564463	-	None.found	Inf	None.found
chr8	107236229	107236229	1	-	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr8-107236229	1	0.6211180124223602	FALSE	ANGPT1	-	FALSE	TRUE	13251	RSPO2	663085	-	MYC	-20499203	+
chr8	118561966	118561966	1	-	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr8-118561966	1	0.6211180124223602	TRUE	SAMD12	-	FALSE	TRUE	0	TNFRSF11B	361589	-	MYC	-9173466	+
chr8	55784321	55784321	1	-	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr8-55784321	1	0.6211180124223602	TRUE	TGS1	+	FALSE	FALSE	0	LYN	-95504	+	MYC	-71951111	+
chr8	116868315	116868315	1	+	hg38	5	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr8+116868315	1	0.6211180124223602	TRUE	RAD21	-	FALSE	FALSE	0	EXT1	931046	-	MYC	-10867117	+
chr8	19847419	19847419	1	+	hg38	4	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr8+19847419	1	0.6211180124223602	TRUE	INTS10	+	TRUE	TRUE	-0	NAT2	1446205	+	MYC	-107888013	+
chr9	17456243	17456243	1	-	hg38	1013	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr9-17456243	1	0.6211180124223602	TRUE	CNTLN	+	FALSE	FALSE	-0	SH3GL2	-122709	+	JAK2	12328059	+
chr9	23984295	23984295	1	-	hg38	14	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr9-23984295	1	0.6211180124223602	FALSE	ELAVL2	-	FALSE	TRUE	-133654	CDKN2B	-1974981	-	JAK2	18856111	+
chr9	74256262	74256262	1	-	hg38	398	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr9-74256262	1	0.6211180124223602	FALSE	LOC101927358	+	FALSE	FALSE	-115267	ANXA1	1085868	+	TAL2	-31406193	+
chr9	112705822	112705822	1	+	hg38	150	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr9+112705822	1	0.6211180124223602	TRUE	INIP	-	FALSE	FALSE	0	BSPRY	-643708	+	TAL2	7042709	+
chr9	27988030	27988030	1	+	hg38	1	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr9+27988030	1	0.6211180124223602	TRUE	LINGO2	-	FALSE	FALSE	-0	TEK	757851	+	JAK2	22859846	+
chr9	43618127	43618127	1	+	hg38	14	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr9+43618127	1	0.6211180124223602	FALSE	XLOC_007697	+	FALSE	TRUE	828518	PAX5	-6583647	-	JAK2	38489943	+
chr9	92865424	92865424	1	+	hg38	11	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chr9+92865424	1	0.6211180124223602	TRUE	ZNF484	-	FALSE	FALSE	0	SUSD3	-193262	+	TAL2	-12797031	+
chrX	124024842	124024842	1	-	hg38	3	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chrX-124024842	1	0.6211180124223602	TRUE	STAG2	+	FALSE	FALSE	0	STAG2	0	+	MTCP1	31039190	-
chrX	16727103	16727103	1	-	hg38	5	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chrX-16727103	1	0.6211180124223602	TRUE	SYAP1	+	FALSE	FALSE	0	RBBP7	117545	-	MTCP1	138336929	-
chrX	76736211	76736211	1	-	hg38	41	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chrX-76736211	1	0.6211180124223602	TRUE	MIR325HG	-	FALSE	TRUE	-0	MAGEE1	304857	+	MTCP1	78327821	-
chrX	74969222	74969222	1	+	hg38	65	GSK123_.25nM	GTSP5068	JLTRG-R5	H48	48	48	chrX+74969222	1	0.6211180124223602	FALSE	NEXMIF	-	FALSE	FALSE	-43769	MAGEE1	-1458429	+	MTCP1	80094810	-
chr1	167133724	167133724	1	+	hg38	4	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr1+167133724	1	4.3478260869565215	FALSE	DUSP27	+	FALSE	TRUE	4594	GPA33	-43092	-	PBX1	2247676	+
chr11	45973490	45973490	1	+	hg38	1	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr11+45973490	1	4.3478260869565215	TRUE	PHF21A	-	FALSE	FALSE	-0	CREB3L1	-304146	+	LMO2	-12081200	-
chr14	52441001	52441001	1	-	hg38	1	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr14-52441001	1	4.3478260869565215	TRUE	TXNDC16	-	FALSE	TRUE	-0	NIN	-1609879	-	TCL1A	43268964	-
chr14	83634615	83634615	1	-	hg38	2	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr14-83634615	1	4.3478260869565215	FALSE	LINC02301	+	FALSE	FALSE	927789	SEL1L	-2100753	-	TCL1A	12075350	-
chr15	82415424	82415424	1	+	hg38	62	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr15+82415424	1	4.3478260869565215	TRUE	UBE2Q2P2	+	TRUE	TRUE	-0	IL16	1102660	+	None.found	Inf	None.found
chr17	2480927	2480927	1	+	hg38	396	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr17+2480927	1	4.3478260869565215	TRUE	METTL16	-	FALSE	FALSE	0	SMG6	-177151	-	None.found	Inf	None.found
chr17	45298175	45298175	1	+	hg38	1	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr17+45298175	1	4.3478260869565215	TRUE	MAP3K14	-	FALSE	FALSE	0	HEXIM1	146073	+	None.found	Inf	None.found
chr19	58330346	58330346	1	-	hg38	42	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr19-58330346	1	4.3478260869565215	TRUE	ZSCAN22	+	FALSE	FALSE	0	ZSCAN22	0	+	JUND	-40048689	-
chr2	112128226	112128226	1	-	hg38	1	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr2-112128226	1	4.3478260869565215	FALSE	TMEM87B	+	FALSE	FALSE	8907	ZC3H8	87634	-	BCL11A	-51574727	-
chr22	35748255	35748255	1	-	hg38	1	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr22-35748255	1	4.3478260869565215	TRUE	RBFOX2	-	FALSE	TRUE	-0	MCM5	323752	+	BCR	12430217	+
chr22	41225121	41225121	1	-	hg38	237	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr22-41225121	1	4.3478260869565215	TRUE	L3MBTL2	+	FALSE	FALSE	-0	EP300	45043	+	BCR	17907083	+
chr4	105381961	105381961	1	+	hg38	285	GSK123_.5nM	GTSP5028	JLTRG-R5	H48	48	48	chr4+105381961	2	8.695652173913043	TRUE	PPA2	-	FALSE	FALSE	-0	TET2	102157	+	RAP1GDS1	6938099	+
